distribution,tau,mismatch,c,r,r2
gaussian,2.0,0.2,0.3754258297979355,0.3030425887299877,0.09183481058417246
gaussian,2.0,0.30000000000000004,0.37588723353266973,0.3487105321857066,0.1215990352572387
gaussian,2.0,0.4,0.37653529952123843,0.40432361119459087,0.16347758256943468
gaussian,2.0,0.5,0.37737063277459715,0.4665644411317204,0.2176823777285546
gaussian,2.0,0.6000000000000001,0.37839223649856574,0.5333741963713735,0.2844880333548085
gaussian,2.0,0.7000000000000001,0.379596711036827,0.6035145865436609,0.3642298561709659
gaussian,2.0,0.8,0.38097769322512776,0.676238754798434,0.45729885349133653
gaussian,2.0,0.9,0.38252561460199336,0.7510882860120734,0.5641336133845543
gaussian,2.0,1.0,0.3842277918624394,0.8277738199336585,0.685209496967561
gaussian,2.0,1.1,0.3860688086170471,0.9061048543429836,0.8210260070639195
gaussian,2.0,1.2000000000000002,0.38803111227469195,0.9859479787623785,0.9720934168256196
gaussian,2.0,1.3,0.39009573505022016,1.0672018326728632,1.1389197516603178
gaussian,2.0,1.4000000000000001,0.39224305040570523,1.149782179186574,1.3219990595750273
gaussian,2.0,1.5,0.39445349032289934,1.233613246585654,1.5218016421515974
gaussian,2.0,1.6,0.3967081691509218,1.3186230001798718,1.7387666166033662
gaussian,2.0,1.7000000000000002,0.39898938167533027,1.4047408636496421,1.9732968940071425
gaussian,2.0,1.8,0.4012809630571324,1.4918969225781804,2.2257564275982453
gaussian,2.0,1.9000000000000001,0.4035685142784204,1.5800219702118279,2.4964694263520664
gaussian,2.0,2.0,0.4058395078223862,1.669047975452752,2.7857211443629306
gaussian,2.0,2.1,0.40808329460798015,1.7589087057514077,3.093759835168092
gaussian,2.0,2.2,0.4102910354423718,1.8495403443344869,3.4207994853209325
gaussian,2.0,2.3000000000000003,0.41245557951063966,1.940882014753768,3.7670229951946457
gaussian,2.0,2.4000000000000004,0.4145713097906573,2.0328761746569954,4.1325855414880595
gaussian,2.0,2.5,0.41663397171313077,2.125468871446891,4.51761792348972
gaussian,2.0,2.6,0.41864049759809596,2.2186098702527506,4.922229756382927
gaussian,2.0,2.7,0.42058883585860457,2.3122526734673543,5.346512425956927
gaussian,2.0,2.8000000000000003,0.42247779092773174,2.406354454171109,5.790541759109136
gaussian,2.0,2.9000000000000004,0.42430687741218664,2.50087592505816,6.2543803925355075
gaussian,2.0,3.0,0.4260761901800278,2.5957811629215106,6.73807984577815
gaussian,2.0,3.1,0.4277862906879961,2.691037404332123,7.2416823115145705
gaussian,2.0,3.2,0.42943810905148305,2.7866148261710557,7.765222189436343
gaussian,2.0,3.3000000000000003,0.431032860760974,2.8824863208310267,8.308727389777989
gaussian,2.0,3.4000000000000004,0.43257197666778796,2.97862727351243,8.872220434512093
gaussian,2.0,3.5,0.4340570447383604,3.0750153468036463,9.455719383077948
gaussian,2.0,3.6,0.43548976207402257,3.171630275985135,10.059238607545545
gaussian,2.0,3.7,0.4368718957657386,3.268453677146734,10.682789439654005
gaussian,2.0,3.8000000000000003,0.4382052512686031,3.365468869196826,11.326380709532962
gaussian,2.0,3.9000000000000004,0.43949164711681793,3.462660710108134,11.990019193326567
gaussian,2.0,4.0,0.4407328949414439,3.560015447229688,12.673709984513994
gaussian,2.0,4.1000000000000005,0.44193078389105095,3.657520581148053,13.377456801521593
